Period '120111'  '120112'  '120121'  '120122'  '120411'  '120412'  '120521'  '120522'  '120611'  '120612'  '120621'  '120622'  '120711'  '120712'  '120721'  '120722'  '120811'  '120812'  '120821'  '120822'  '120911'  '120912'  '120921'  '120922'  '121011'  '121012'  '121021'  '121022'  '121111'  '121112'  '121211'  '121212'  '121221'  '121222'  '121321'  '121322'  '121411'  '121412'  '121421'  '121422'  '121511'  '121512'  '121711'  '121712'
0.27  0.741938  0.729572  0.622482  0.845082  1.298718  0.609159  0.622614  0.900193  0.724977  0.851795  1.396280  1.374887  1.263962  0.954564  0.506541  0.387846  0.463374  0.864662  0.479743  0.545169  0.469090  0.473332  1.205973  0.992607  2.276185  0.780462  1.057909  0.750167  0.894928  1.019064  0.611551  0.442922  0.809953  0.652942  0.740769  1.349030  0.243433  0.308447  1.018851  0.861691  1.401700  0.780399  1.764262  1.043638
0.28  0.723194  0.748837  0.626473  0.821799  1.281732  0.571665  0.510404  0.937524  0.745435  0.845500  1.280700  1.302498  1.325697  1.033051  0.457854  0.412684  0.470602  0.909609  0.447506  0.490352  0.447979  0.531734  1.181040  1.006395  2.298499  0.827921  1.111870  0.858088  0.885876  1.056061  0.568502  0.408222  0.910360  0.631099  0.752167  1.314099  0.311977  0.336193  1.028446  0.837225  1.262934  0.806391  1.429440  1.016276
0.29  0.598432  0.817564  0.649091  0.879175  1.299347  0.596074  0.508548  0.839722  0.689698  0.949368  1.422032  1.256976  1.250829  1.103265  0.460821  0.503134  0.461653  0.908921  0.378408  0.454035  0.398258  0.523053  1.238260  1.098428  1.996546  0.752705  0.991009  0.996818  0.895007  1.097151  0.489275  0.353172  0.944299  0.707667  0.768403  1.252519  0.322443  0.367674  1.091866  0.810072  1.130667  0.814357  1.243523  0.977681
0.30  0.545585  0.826154  0.706799  0.964074  1.367039  0.662696  0.516080  0.953460  0.772583  0.978089  1.205067  1.282322  1.335211  1.086203  0.466316  0.563800  0.458418  0.856471  0.336786  0.400715  0.371819  0.431208  1.246073  1.289504  1.857543  0.869067  0.941361  1.086166  0.897526  1.071961  0.525627  0.310732  0.876891  0.835084  0.788984  1.211356  0.285544  0.376539  1.152504  0.755191  1.126894  0.777255  1.145165  0.940383
0.31  0.547017  0.802204  0.791615  1.020701  1.427118  0.738251  0.525140  1.055847  0.816779  0.933368  1.018619  1.307872  1.426520  1.024985  0.467305  0.543028  0.493867  0.768918  0.344539  0.320871  0.386025  0.416311  1.222174  1.390155  1.916541  0.894756  0.935199  1.079740  0.880916  0.986869  0.573372  0.309950  0.787288  0.932556  0.798496  1.187986  0.247619  0.361845  1.169870  0.735139  1.080359  0.631782  1.043926  1.037733
0.32  0.533024  0.762699  0.864457  1.076164  1.427999  0.806383  0.542823  1.071456  0.813238  1.013630  0.956571  1.238727  1.331902  0.982277  0.534456  0.501045  0.542806  0.697952  0.314342  0.315295  0.409998  0.421540  1.247336  1.500917  1.889219  0.968774  0.940305  0.967945  0.899966  0.941607  0.567806  0.327169  0.781064  0.937958  0.715514  1.067695  0.243105  0.326260  1.122185  0.739840  0.997770  0.690055  1.087705  1.151069
0.33  0.498400  0.721763  0.892562  1.095372  1.344076  0.844632  0.533981  1.051808  0.781238  0.932450  0.969346  1.112401  1.206571  0.877525  0.593364  0.488956  0.589543  0.710686  0.283330  0.320871  0.443835  0.416805  1.252507  1.528493  1.988274  1.054005  0.960991  0.795060  0.929563  1.114626  0.575807  0.324821  0.807369  0.949936  0.788574  1.076387  0.238097  0.299294  1.099446  0.751737  1.033824  0.681041  1.132924  1.242659
0.34  0.447311  0.686097  0.933307  1.070509  1.272107  0.846645  0.542059  0.980967  0.798812  0.800386  0.999863  1.162890  1.146697  0.839057  0.606002  0.525334  0.634352  0.782546  0.277481  0.336786  0.460113  0.410096  1.209190  1.566064  2.071436  1.156325  0.965569  0.623672  0.968134  1.202867  0.533541  0.325604  0.794099  1.027796  0.778324  1.057363  0.231817  0.326178  1.120938  0.755671  1.085390  0.617528  1.129900  1.312216
0.35  0.386459  0.643208  0.954844  1.016543  1.187493  0.889110  0.574259  0.891024  0.738222  0.722354  0.958903  1.182255  1.059627  0.947325  0.573032  0.557755  0.665051  0.852479  0.259390  0.353924  0.457055  0.407926  1.143124  1.618458  2.070456  1.234153  0.958263  0.513374  0.971913  1.157684  0.474317  0.315081  0.907424  1.051635  0.697556  1.036864  0.241545  0.371409  1.169198  0.789252  1.163576  0.581893  1.142284  1.397757
0.36  0.387890  0.597520  0.958586  0.951518  1.099167  0.914714  0.565418  0.840158  0.674879  0.641961  0.788677  1.173232  1.092614  1.006992  0.539731  0.565229  0.687146  0.891782  0.274897  0.371335  0.454983  0.407235  1.125659  1.527229  2.145455  1.257230  0.945851  0.479483  0.956642  1.038586  0.446314  0.372914  1.016052  1.004074  0.627858  1.120256  0.221351  0.386061  1.241350  0.849986  1.234217  0.583570  1.144877  1.401934
0.37  0.404617  0.580078  0.946778  0.886659  1.024493  0.918803  0.516953  0.860788  0.703469  0.594617  0.799322  1.114935  1.187957  1.036774  0.510717  0.598089  0.713508  0.901281  0.283058  0.363854  0.453898  0.436732  1.077172  1.387972  2.163633  1.247433  0.932559  0.482740  0.913977  0.893511  0.451358  0.431877  1.082051  0.952989  0.582185  1.287368  0.228985  0.383188  1.250177  0.895560  1.255178  0.560303  1.136956  1.344762
0.38  0.423425  0.604224  0.924826  0.826206  0.986180  0.903453  0.451788  0.881528  0.782156  0.630027  0.793037  1.025716  1.283610  1.073691  0.551051  0.607431  0.738012  0.891576  0.278025  0.370519  0.447979  0.477771  0.988126  1.318573  2.159279  1.249066  0.919355  0.480452  0.899730  0.793856  0.475709  0.473447  1.097670  0.888517  0.538644  1.471781  0.242489  0.375390  1.236457  0.931732  1.209063  0.535568  1.118235  1.203632
0.39  0.484668  0.659218  0.898217  0.804420  0.984041  0.884266  0.422208  0.864827  0.764845  0.669764  0.774483  0.966913  1.431484  1.146077  0.573581  0.583582  0.746341  0.864594  0.265919  0.359501  0.474812  0.480928  0.917004  1.194024  2.087328  1.251787  0.922524  0.458797  0.871156  0.808104  0.501103  0.487797  1.112467  0.762509  0.556520  1.613309  0.232392  0.358316  1.255550  0.964258  1.100901  0.593631  1.090585  1.196720
0.40  0.545975  0.708421  0.875100  0.825125  1.016314  0.871621  0.412493  0.832954  0.833828  0.695206  0.750759  0.896450  1.656087  1.254862  0.573142  0.614685  0.727963  0.814278  0.260070  0.336378  0.455180  0.469189  0.896552  1.110378  1.961061  1.225445  0.962400  0.424643  0.846202  0.791573  0.503973  0.479883  1.269596  0.802085  0.581775  1.699571  0.204318  0.336603  1.294312  0.975387  0.947043  0.629895  1.055015  1.224802
0.41  0.569926  0.796347  0.849489  0.863459  1.053872  0.861429  0.388479  0.831753  0.821631  0.703075  0.726629  0.795774  1.913264  1.399014  0.563250  0.630401  0.687628  0.739320  0.246876  0.311078  0.452911  0.448274  0.888509  1.125429  1.848182  1.160026  0.984319  0.389872  0.805191  0.740407  0.477970  0.460837  1.393020  0.762744  0.587433  1.782799  0.183344  0.304507  1.305922  0.963682  0.903653  0.677058  1.010228  1.244963
0.42  0.575523  0.900609  0.818473  0.895556  1.082747  0.848281  0.366757  0.933594  0.831992  0.702551  0.749035  0.720647  2.124942  1.512350  0.545996  0.622268  0.630016  0.644333  0.260478  0.285914  0.448768  0.407630  0.834162  1.244004  1.758924  1.106036  0.991801  0.362407  0.753474  0.686487  0.459011  0.454836  1.476165  0.780711  0.553978  1.816910  0.188064  0.299376  1.300836  0.937873  0.847266  0.745603  0.954496  1.261092
0.43  0.558927  0.995238  0.783050  0.899714  1.092310  0.838341  0.355078  1.081825  0.848516  0.752517  0.785129  0.732611  2.227213  1.568811  0.522586  0.587099  0.560427  0.562698  0.294756  0.270816  0.432983  0.368958  0.741899  1.408654  1.643107  1.095368  0.985727  0.393129  0.715061  0.669405  0.481622  0.485536  1.559896  0.830974  0.524459  1.800839  0.181703  0.301428  1.312638  0.894793  0.791089  0.778303  0.893724  1.277941
0.44  0.601751  1.073337  0.743636  0.871774  1.097468  0.835762  0.352786  1.185521  0.854418  0.783074  0.801147  0.757957  2.221111  1.571086  0.567207  0.593693  0.518577  0.565452  0.324272  0.261975  0.411379  0.374187  0.745116  1.538719  1.464047  1.058141  0.976836  0.418745  0.670507  0.690265  0.533976  0.529019  1.653492  0.943595  0.547336  1.787883  0.189542  0.322648  1.326646  0.838472  0.718562  0.737009  0.900924  1.295943
